Sl. No.,State,Allocation of SDRF - Central Share,Allocation of SDRF - State Share,Allocation of SDRF - Total,Release from SDRF - 1st Installment,Release from SDRF - 2nd Installment
1,Andhra Pradesh,940,312.8,1252.8,470,NA
2,Arunachal Pradesh,210.4,23.2,233.6,NA,NA
3,Assam,648.8,72,720.8,324.4,324.4
4,Bihar,1189.6,396.8,1586.4,594.8,NA
5,Chhattisgarh,363.2,120.8,484,NA,NA
6,Goa,9.6,3.2,12.8,4.8,NA
7,Gujarat,1112,370.4,1482.4,556,NA
8,Haryana,412.8,137.6,550.4,206.4,NA
9,Himachal Pradesh,342.4,38.4,380.8,171.2,171.2
10,Jharkhand,476.8,158.4,635.2,NA,NA
11,Karnataka,664,221.6,885.6,332,332
12,Kerala,264,88,352,132,NA
13,Madhya Pradesh,1528.8,509.6,2038.4,764.4,NA
14,Maharashtra,2706.4,902.4,3608.8,1353.2,NA
15,Manipur,35.2,4,39.2,17.6,NA
16,Meghalaya,54.4,6.4,60.8,27.2,NA
17,Mizoram,39.2,4,43.2,19.6,NA
18,Nagaland,34.4,4,38.4,17.2,17.2
19,Odisha,1348,448.8,1796.8,674,NA
20,Punjab,416,138.4,554.4,208,NA
21,Rajasthan,1244.8,414.4,1659.2,622.4,NA
22,Sikkim,42.4,4.8,47.2,21.2,21.2
23,Tamil Nadu,856.8,285.6,1142.4,428.4,NA
24,Telangana,377.6,125.6,503.2,188.8,NA
25,Tripura,56.8,6.4,63.2,NA,NA
26,Uttar Pradesh,1624,541.6,2165.6,812,NA
27,Uttarakhand,787.2,87.2,874.4,393.6,NA
28,West Bengal,849.6,283.2,1132.8,424.8,NA
Total,Total,18635.2,5709.6,24344.8,8764,866
