Sl. No.,States/UTs,"Beneficiaries covered under the National Food Security Act, 2013 - As on 31-03-2021","Beneficiaries covered under the National Food Security Act, 2013 - As on 31-03-2022","Beneficiaries covered under the National Food Security Act, 2013 - As on 30-11-2022"
1,Andhra Pradesh,268.22,268.22,268.22
2,Arunachal Pradesh,8.4,8.4,8.4
3,Assam,250.31,251.17,251.17
4,Bihar,871.16,871.16,871.16
5,Chhattisgarh,200.77,200.77,200.77
6,Delhi,72.78,72.78,72.78
7,Goa,5.32,5.32,5.32
8,Gujarat,341.71,345.15,344.15
9,Haryana,126.49,126.49,126.49
10,Himachal Pradesh,28.64,28.64,28.64
11,Jharkhand,263.7,264.25,264.12
12,Karnataka,401.93,401.93,401.93
13,Kerala,154.8,154.8,154.8
14,Madhya Pradesh,470.46,482.58,511.32
15,Maharashtra,700.17,700.17,700.17
16,Manipur,18.6,19.97,20.08
17,Meghalaya,21.46,21.46,21.46
18,Mizoram,6.68,6.68,6.68
19,Nagaland,14.05,14.05,14.05
20,Odisha,324.33,324.15,325.03
21,Punjab,141.51,141.51,141.51
22,Rajasthan,440.01,440.01,440.01
23,Sikkim,3.79,3.79,3.79
24,Tamil Nadu,364.69,364.69,364.69
25,Telangana,191.62,191.62,191.62
26,Tripura,24.83,24.83,24.32
27,Uttar Pradesh,1465.94,1487.44,1490.71
28,Uttarakhand,61.94,61.94,61.94
29,West Bengal,601.84,601.84,601.84
30,Andaman and Nicobar,0.61,0.61,0.61
31,Dadra and Nagar Haveli and Daman and Diu,2.86,3.02,2.73
32,Lakshadweep,0.22,0.22,0.22
33,Chandigarh (DBT),2.79,2.75,2.76
34,Puducherry (DBT),6.3,6.24,6.34
35,Jammu and Kashmir,72.41,72.41,72.41
36,Ladakh,1.44,1.44,1.44
Total,Total,7932.81,7972.5,8003.69
