stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
DC4539,0,28.851958,77.088107,Narela Terminal,0
DC4540,1,28.853311,77.088548,Police Station Narela,1
DC4541,2,28.854965,77.089322,Safiyabad Crossing,2
DC4542,3,28.857713,77.092846,Ramdev Chowk / Pitori Johad,3
DC4543,4,28.857684,77.097117,Narela A-6 / CPJ College,4
DC4544,5,28.854724,77.097933,State Bank Of Allahbad,5
DC4545,6,28.851769,77.097906,Sec A-9 Narela,6
DC4546,7,28.851771,77.097849,Narela Pocket 13 / A-9,7
DC4547,8,28.848993,77.098485,Narela Pocket 13 / A-6,8
DC4548,9,28.840804,77.10202,Raja Harish Chandra Hospital,9
DC4549,10,28.837226,77.098578,Kasturi Ram School,10
DC4550,11,28.83657,77.09201,Munim Ji Ka Bagh,11
DC4551,12,28.838193,77.091456,New Anaj Mandi,12
DC4552,13,28.840582,77.090589,Kurani More,13
DC4893,14,28.837755,77.081097,Prem Nagar Narela,14
DC4554,15,28.83657,77.079258,Maharaja Agrassen School,15
DC4555,16,28.833186,77.077052,Bharat Mata School,16
DC4556,17,28.825219,77.069668,Kaushal Devi Netraheen Ashram,17
DC5264,18,28.819549,77.06355,Sannoth Crossing / Ghoga Crossing,18
DC4558,19,28.815434,77.058213,Delhi Jal Board Bawana,19
DC4559,20,28.811811,77.053975,Jain Bekhunth Mandir,20
DC4560,21,28.806738,77.048163,Bawana JJ Colony CRPF Camp,21
DC3605,23,28.758318,77.148305,Swaroop Nagar GT Road,23
DC3606,24,28.75027,77.15075,Libas Pur GT Road,24
U01532,25,28.7402,77.154,Sanjay Gandhi Transport Nagar,25
DC3607,26,28.735084,77.155874,Mukarba Chowk,26
U01588,27,28.731117,77.158967,GTK Depot,27
U99882A,28,28.7257,77.163,Jahangirpuri GT Road (Metro Station),28
DC3655,29,28.721715,77.166162,Mahindra Park,29
U01698,30,28.7206,77.1671,Sarai Pipal Thala,30
U01747,31,28.717467,77.169917,Adarsh Nagar Metro Station,31
U01781,32,28.714415,77.172422,New Sabzi Mandi,32
U01867,33,28.7065332223827,77.1792795874857,Azadpur Terminal (Bara Bagh Road),33
U01929,34,28.7017,77.1831,Bara Bagh,34
U01969,35,28.6995,77.1849,Gujranwala Town,35
U02004,36,28.6971,77.1869,Telephone Exchange,36
U02033,37,28.6954,77.1883,State Bank Colony,37
U02088,38,28.691,77.192,Gurudwara Nanak Pyau,38
U02112,39,28.6882666666667,77.1937,Rana Pratap Bagh,39
U02138,40,28.6848,77.1963,Gur Mandi,40
U02180,41,28.682832,77.197614,Roop Nagar / Shakti Nagar (GT Road),41
DC0027,42,28.677617,77.201567,Clock Tower,42
U02242,43,28.6733,77.2018,Roshnara Bagh,43
U02274,44,28.669249,77.20455,Roshnara Road,44
U02387,45,28.667538,77.207439,Ice Factory (Roshanara Road),45
DC0028,46,28.667356,77.215047,St Stephen Hospital,46
U02512,47,28.666864,77.218926,Tees Hazari Court,47
U02690,48,28.668328,77.225017,ISBT Nityanand Marg,48
DC3575,49,28.669469,77.228659,ISBT Bridge,49
U02946,50,28.673867,77.241633,Metro Train Depot,50
DC3576,51,28.674383,77.243117,Metro Train Depot,51
U03019,52,28.6741,77.24775,Shyam Giri Mandir,52
DC3577,53,28.6734543883493,77.2519536225461,Shastri Park GT Road,53
U03126,54,28.6726111562185,77.2572326120276,Shastri Park GT Road,54
U03184,55,28.6712510847409,77.2616747919392,Dharampura GT Road,55
U03193,56,28.670783,77.265423,Seelampur Metro Station,56
U03268,57,28.672117,77.273467,Seelam Pur Petrol Pump,57
U03300,58,28.6725362922399,77.2763248221347,Welcome Metro Station,58
U03350,59,28.6736,77.283533,Shahdara (Shyam Lal College),59
U03509,60,28.6759,77.2999,Mansarovar Park Metro Station,60
U03614,61,28.676067,77.30925,Telephone Exchange,61
U03636,62,28.67615,77.311883,Dilshad Garden GT Road,62
U03746,63,28.676518,77.321617,Shahdara Border Circle,63
U99883A,64,28.666390619,77.3215430001921,Surya Nagar (Gazipur Road),64
U03715,65,28.662479,77.320324,Ram Prastha Temple,65
U03712,66,28.6608,77.3202,Ram Prastha Crossing,66
DC3612,67,28.647061,77.317903,Anand Vihar ISBT Main Road,67
DC3531,69,28.618288,76.930672,Kair Depot,69
DC4030,70,28.6082685799431,76.9447822575366,Mitraon Village (Dhansa Road),70
U00079,71,28.607199,76.939964,Mitraon School,71
U00067,72,28.6042512214927,76.9324376475528,Surehra Crossing,72
U00051,73,28.6001675792429,76.9161323561128,Rawta Crossing (Dhansa Road),73
DC4018,74,28.594840102931,76.9153475629006,Jaffarpur Kalan RTRM Hospital,74
DC4008,75,28.578394,76.909982,Samaspur Khalsa,75
U00143,76,28.688069174713,76.9654397279275,Tikri Border Metro Station,76
U00165,77,28.6875,76.9708,Tikari Village,77
U00194,78,28.6869,76.9783,Tikri Hospital,78
U00211,79,28.686817,76.979933,Tikri Piyau / Azad Hind Gram,79
DC3758,80,28.686267,76.986533,Indian Oil Corporation,80
U00282,81,28.686112,76.994467,Ghevra Crossing (Kanjhawala Road),81
U00271,82,28.69285,76.993943,FCI Ghevra,82
U00290,83,28.696524,76.997956,Ghevra Village,83
U00302,84,28.707239,77.001132,Sir Chhotu Ram Polytechnic,84
U00317,85,28.7141664299404,77.0031881385706,Haryana Shakti School Kanjhawla,85
U00322,86,28.723483,77.004474,Desu Sub Station,86
U00327,88,28.733592,77.004502,Kanjhawala Village,88
DC5154,89,28.738005,77.007551,Kanjhawla Chowk,89
DC4516,90,28.738824,77.008263,Kanjhawla School,90
DC4517,91,28.751435,77.014409,Chandpur Kalan Crossing,91
DC5155,92,28.75137,77.00975,Chand Pur Village,92
DC5158,93,28.75329,77.00775,Chand Pur Village,93
DC5159,94,28.75895,76.99894,Chand Pur Majra School,94
DC5161,95,28.76899,76.99852,Majra Dabas Village,95
DC4519,96,28.7666506423272,77.0164091280802,Prem Piyau,96
DC4520,97,28.779779,77.021947,Shri Krishna Gaushala,97
DC4521,98,28.7850261947954,77.0238674277204,Bajit Pur Crossing,98
DC4522,99,28.787599,77.025648,Krishna Vihar,99
DC4523,100,28.794529,77.029967,Ishwar Colony,100
DC4524,101,28.797939,77.031709,Panchayat Ghar,101
DC4525,102,28.797795,77.034329,Primary School,102
DC4526,103,28.800379,77.036058,Bawana Village Chowk,103
U01343,104,28.74539,77.13727,Badli Railway Staion,104
DC3772,106,28.743133,77.146286,Prem Nagar,106
U02440,107,28.6676101,77.210806,Ice Factory (Nityanand Marg),107
U02716,108,28.665616,77.230079,ISBT Kashmere Gate (Lothian Road),108
