S.No,District,Canals no.,Canals Length (Km.),Tube Wells & Other Wells,Open Wells,Wells used for Domestic Purpose only ,Reservoirs,Tanks
1,Kancheepuram,20,184,12551,51962,43476,0,1942
2,Thiruvallur,17,189,25302,6839,68920,0,1895
3,Cuddalore,270,1058,37739,10066,20870,1,592
4,Villupuram,196,845,24286,144415,41722,3,2085
5,Vellore,604,1067,15003,94502,52757,3,1355
6,Tiruvannamalai,144,119,3022,180563,22966,1,1966
7,Salem,78,233,18116,105959,29877,3,546
8,Namakkal,3,75,12180,71080,12440,0,259
9,Dharmapuri,85,187,1329,83987,16547,7,1015
10,Krishnagiri,109,137,14006,44088,7526,4,1327
11,Coimbatore,27,245,20838,49980,6759,7,48
12,Tiruppur,18,364,14439,79080,10316,5,42
13,Erode,10,690,8675,75464,22729,7,698
14,Tiruchirappalli,135,494,8463,71865,8119,1,1767
15,Karur,23,226,3221,42947,7869,0,266
16,Perambalur,1,3,3711,33863,7390,1,252
17,Ariyalur,3,44,10108,5982,3294,1,564
18,Pudukkottai,28,78,19276,27396,8539,0,5451
19,Thanjavur,25,638,52285,1407,30239,0,428
20,Thiruvarur,13,612,13465,44,7117,0,0
21,Nagapattinam,9,548,21026,4018,49869,0,0
22,Madurai,80,170,735,45711,63410,2,2289
23,Theni,107,226,4264,24564,6598,3,150
24,Dindigul,28,143,4063,92347,15033,8,3104
25,Ramanathapuram,0,0,334,7373,16012,0,1694
26,Virudhunagar,0,0,79,35151,10016,6,997
27,Sivagangai,19,20,1529,13223,30662,0,4966
28,Tirunelveli,129,532,2438,78434,24921,13,2155
29,Thoothukkudi,4,78,671,22107,8477,0,651
30,The Nilgiris,1,2,0,781,968,0,0
31,Kanniyakumari,53,540,1590,2113,26785,5,2623
Total,STATE,2239,9747,354744,1507311,682223,81,41127
